 

stn;time;sre000h0
COM;2022111808;0
COM;2022111809;54
COM;2022111810;60
COM;2022111811;60
COM;2022111812;59
COM;2022111813;57
COM;2022111814;7
COM;2022111815;0
COM;2022111816;0
COM;2022111817;0
COM;2022111818;0
COM;2022111819;0
COM;2022111820;0
COM;2022111821;0
COM;2022111822;0
COM;2022111823;0
COM;2022111900;0
COM;2022111901;0
COM;2022111902;0
COM;2022111903;0
COM;2022111904;0
COM;2022111905;0
COM;2022111906;0
COM;2022111907;0
COM;2022111908;0
COM;2022111909;54
COM;2022111910;60
COM;2022111911;60
COM;2022111912;60
COM;2022111913;60
COM;2022111914;6
COM;2022111915;0
COM;2022111916;0
COM;2022111917;0
COM;2022111918;0
COM;2022111919;0
COM;2022111920;0
COM;2022111921;0
COM;2022111922;0
COM;2022111923;0
COM;2022112000;0
COM;2022112001;0
COM;2022112002;0
COM;2022112003;0
COM;2022112004;0
COM;2022112005;0
COM;2022112006;0
COM;2022112007;0
COM;2022112008;0
COM;2022112009;53
COM;2022112010;60
COM;2022112011;60
COM;2022112012;60
COM;2022112013;60
COM;2022112014;5
COM;2022112015;0
COM;2022112016;0
COM;2022112017;0
COM;2022112018;0
COM;2022112019;0
COM;2022112020;0
COM;2022112021;0
COM;2022112022;0
COM;2022112023;0
COM;2022112100;0
COM;2022112101;0
COM;2022112102;0
COM;2022112103;0
COM;2022112104;0
COM;2022112105;0
COM;2022112106;0
COM;2022112107;0
COM;2022112108;0
COM;2022112109;52
COM;2022112110;60
COM;2022112111;60
COM;2022112112;60
COM;2022112113;3
COM;2022112114;0
COM;2022112115;0
COM;2022112116;0
COM;2022112117;0
COM;2022112118;0
COM;2022112119;0
COM;2022112120;0
COM;2022112121;0
COM;2022112122;0
COM;2022112123;0
COM;2022112200;0
COM;2022112201;0
COM;2022112202;0
COM;2022112203;0
COM;2022112204;0
COM;2022112205;0
COM;2022112206;0
COM;2022112207;0
COM;2022112208;0
COM;2022112209;0
COM;2022112210;0
COM;2022112211;0
COM;2022112212;0
COM;2022112213;0
COM;2022112214;0
COM;2022112215;0
COM;2022112216;0
COM;2022112217;0
COM;2022112218;0
COM;2022112219;0
COM;2022112220;0
COM;2022112221;0
COM;2022112222;0
COM;2022112223;0
COM;2022112300;0
COM;2022112301;0
COM;2022112302;0
COM;2022112303;0
COM;2022112304;0
COM;2022112305;0
COM;2022112306;0
COM;2022112307;0
COM;2022112308;0
COM;2022112309;50
COM;2022112310;60
COM;2022112311;60
COM;2022112312;60
COM;2022112313;60
COM;2022112314;2
COM;2022112315;0
COM;2022112316;0
COM;2022112317;0
COM;2022112318;0
COM;2022112319;0
COM;2022112320;0
COM;2022112321;0
COM;2022112322;0
COM;2022112323;0
COM;2022112400;0
COM;2022112401;0
COM;2022112402;0
COM;2022112403;0
COM;2022112404;0
COM;2022112405;0
COM;2022112406;0
COM;2022112407;0
COM;2022112408;0
COM;2022112409;47
COM;2022112410;60
COM;2022112411;60
COM;2022112412;60
COM;2022112413;59
COM;2022112414;0
COM;2022112415;0
COM;2022112416;0
COM;2022112417;0
COM;2022112418;0
COM;2022112419;0
COM;2022112420;0
COM;2022112421;0
COM;2022112422;0
COM;2022112423;0
COM;2022112500;0
COM;2022112501;0
COM;2022112502;0
COM;2022112503;0
COM;2022112504;0
COM;2022112505;0
COM;2022112506;0
COM;2022112507;0
COM;2022112508;0
COM;2022112509;49
COM;2022112510;60
COM;2022112511;60
COM;2022112512;60
COM;2022112513;52
COM;2022112514;0
COM;2022112515;0
COM;2022112516;0
COM;2022112517;0
COM;2022112518;0
COM;2022112519;0
COM;2022112520;0
COM;2022112521;0
